analysis_level,provider,run_name,requested_model,prompt_variant,evaluation_scope,target_family,valid_prediction_n,reference_positive_n,reference_negative_n,predicted_positive_n,accuracy,recall,precision,f1,specificity,auroc,auroc_flag,tn,fp,fn,tp,threshold,expected_n,prediction_coverage,document,target_labeler,label_source_type
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,76,46,30,23,0.618421052631579,0.43478260869565216,0.8695652173913043,0.5797101449275363,0.9,0.6634057971014492,,27,3,26,20,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,68,41,27,22,0.6323529411764706,0.4634146341463415,0.8636363636363636,0.6031746031746031,0.8888888888888888,0.6887985546522132,,24,3,22,19,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_anmol,individual_coder,53,39,14,20,0.5660377358490566,0.46153846153846156,0.9,0.6101694915254238,0.8571428571428571,0.6263736263736264,,12,2,21,18,0.5,53,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_anmol__drop_kyle_only,individual_coder,53,39,14,20,0.5660377358490566,0.46153846153846156,0.9,0.6101694915254238,0.8571428571428571,0.6263736263736264,,12,2,21,18,0.5,53,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_kyle,individual_coder,51,46,5,16,0.4117647058823529,0.34782608695652173,1.0,0.5161290322580645,1.0,0.6804347826086956,,5,0,30,16,0.5,51,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_kyle__drop_kyle_only,individual_coder,43,41,2,15,0.3953488372093023,0.36585365853658536,1.0,0.5357142857142857,1.0,0.6402439024390244,,2,0,26,15,0.5,43,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_prerana,individual_coder,18,5,13,4,0.8333333333333334,0.6,0.75,0.6666666666666666,0.9230769230769231,0.7692307692307692,,12,1,2,3,0.5,18,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_prerana__drop_kyle_only,individual_coder,18,5,13,4,0.8333333333333334,0.6,0.75,0.6666666666666666,0.9230769230769231,0.7692307692307692,,12,1,2,3,0.5,18,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,new_gold_test_only,new_gold,76,46,30,23,0.618421052631579,0.43478260869565216,0.8695652173913043,0.5797101449275363,0.9,0.6634057971014492,,27,3,26,20,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,new_gold_test_only__drop_kyle_only,new_gold,68,41,27,22,0.6323529411764706,0.4634146341463415,0.8636363636363636,0.6031746031746031,0.8888888888888888,0.6887985546522132,,24,3,22,19,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,old_gold_test_only,old_gold,76,54,22,23,0.5394736842105263,0.3888888888888889,0.9130434782608695,0.5454545454545454,0.9090909090909091,0.627946127946128,,20,2,33,21,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,old_gold_test_only__drop_kyle_only,old_gold,68,49,19,22,0.5441176470588235,0.40816326530612246,0.9090909090909091,0.5633802816901409,0.8947368421052632,0.6380236305048335,,17,2,29,20,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,pooled_coder_labels,pooled_coder_decisions,122,90,32,40,0.5409836065573771,0.4111111111111111,0.925,0.5692307692307692,0.90625,0.6529513888888888,,29,3,53,37,0.5,122,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,114,85,29,39,0.543859649122807,0.4235294117647059,0.9230769230769231,0.5806451612903226,0.896551724137931,0.6584178498985801,,26,3,49,36,0.5,114,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,76,46,30,20,0.6052631578947368,0.391304347826087,0.9,0.5454545454545454,0.9333333333333333,0.6702898550724639,,28,2,28,18,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,68,41,27,18,0.6029411764705882,0.3902439024390244,0.8888888888888888,0.5423728813559322,0.9259259259259259,0.6897018970189701,,25,2,25,16,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_anmol,individual_coder,53,39,14,17,0.5094339622641509,0.38461538461538464,0.8823529411764706,0.5357142857142857,0.8571428571428571,0.6263736263736264,,12,2,24,15,0.5,53,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_anmol__drop_kyle_only,individual_coder,53,39,14,17,0.5094339622641509,0.38461538461538464,0.8823529411764706,0.5357142857142857,0.8571428571428571,0.6263736263736264,,12,2,24,15,0.5,53,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_kyle,individual_coder,51,46,5,15,0.39215686274509803,0.32608695652173914,1.0,0.4918032786885246,1.0,0.6304347826086957,,5,0,31,15,0.5,51,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_kyle__drop_kyle_only,individual_coder,43,41,2,13,0.3488372093023256,0.3170731707317073,1.0,0.48148148148148145,1.0,0.5731707317073171,,2,0,28,13,0.5,43,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_prerana,individual_coder,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.7538461538461538,,13,0,2,3,0.5,18,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_prerana__drop_kyle_only,individual_coder,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.7538461538461538,,13,0,2,3,0.5,18,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,new_gold_test_only,new_gold,76,46,30,20,0.6052631578947368,0.391304347826087,0.9,0.5454545454545454,0.9333333333333333,0.6702898550724639,,28,2,28,18,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,new_gold_test_only__drop_kyle_only,new_gold,68,41,27,18,0.6029411764705882,0.3902439024390244,0.8888888888888888,0.5423728813559322,0.9259259259259259,0.6897018970189701,,25,2,25,16,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,old_gold_test_only,old_gold,76,54,22,20,0.5,0.3333333333333333,0.9,0.4864864864864865,0.9090909090909091,0.6574074074074073,,20,2,36,18,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,old_gold_test_only__drop_kyle_only,old_gold,68,49,19,18,0.4852941176470588,0.32653061224489793,0.8888888888888888,0.47761194029850745,0.8947368421052632,0.6686358754027927,,17,2,33,16,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,pooled_coder_labels,pooled_coder_decisions,122,90,32,35,0.5163934426229508,0.36666666666666664,0.9428571428571428,0.528,0.9375,0.6421875,,30,2,57,33,0.5,122,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,114,85,29,33,0.5087719298245614,0.36470588235294116,0.9393939393939394,0.5254237288135594,0.9310344827586207,0.6448275862068966,,27,2,54,31,0.5,114,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,76,46,30,28,0.631578947368421,0.5,0.8214285714285714,0.6216216216216216,0.8333333333333334,0.676449275362319,,25,5,23,23,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,68,41,27,26,0.6323529411764706,0.5121951219512195,0.8076923076923077,0.6268656716417911,0.8148148148148148,0.6982836495031618,,22,5,20,21,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_anmol,individual_coder,53,39,14,23,0.5849056603773585,0.5128205128205128,0.8695652173913043,0.6451612903225806,0.7857142857142857,0.6492673992673993,,11,3,19,20,0.5,53,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_anmol__drop_kyle_only,individual_coder,53,39,14,23,0.5849056603773585,0.5128205128205128,0.8695652173913043,0.6451612903225806,0.7857142857142857,0.6492673992673993,,11,3,19,20,0.5,53,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_kyle,individual_coder,51,46,5,21,0.5098039215686274,0.45652173913043476,1.0,0.6268656716417911,1.0,0.6869565217391305,,5,0,25,21,0.5,51,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_kyle__drop_kyle_only,individual_coder,43,41,2,19,0.4883720930232558,0.4634146341463415,1.0,0.6333333333333333,1.0,0.6280487804878049,,2,0,22,19,0.5,43,1.0,,,
