provider,model,prompt_variant,status,n_rows,input_tokens,output_tokens,total_tokens,cost_usd,avg_latency_seconds
anthropic,claude-haiku-4-5-20251001,definitions_examples_no_metadata,error,11,45116,0,45116,0.045116,0.0
anthropic,claude-haiku-4-5-20251001,definitions_examples_with_metadata,error,11,51079,0,51079,0.051079,0.0
anthropic,claude-haiku-4-5-20251001,definitions_only,error,11,29486,0,29486,0.029486000000000002,0.0
anthropic,claude-haiku-4-5-20251001,direct_no_context,error,11,4145,0,4145,0.004145,0.0
gemini,gemini-2.5-flash-lite,definitions_examples_no_metadata,error,11,45116,0,45116,0.0045116,0.0
gemini,gemini-2.5-flash-lite,definitions_examples_with_metadata,error,11,51079,0,51079,0.0051079,0.0
gemini,gemini-2.5-flash-lite,definitions_only,error,9,24097,0,24097,0.0024097,0.0
gemini,gemini-2.5-flash-lite,definitions_only,ok,2,4016,129,4145,0.00045320000000000007,0.915094256401062
gemini,gemini-2.5-flash-lite,direct_no_context,error,1,296,0,296,2.96e-05,0.0
gemini,gemini-2.5-flash-lite,direct_no_context,ok,7,1968,291,2265,0.0003132,3.463747535433088
gemini,gemini-2.5-flash-lite,direct_no_context,parse_failed,3,821,153,974,0.00014330000000000001,4.91414753595988
openai,gpt-5.4-nano,definitions_examples_no_metadata,error,11,33382,0,33382,0.006676400000000001,0.0
openai,gpt-5.4-nano,definitions_examples_with_metadata,error,11,39982,0,39982,0.0079964,0.0
openai,gpt-5.4-nano,definitions_only,error,11,22107,0,22107,0.004421400000000001,0.0
openai,gpt-5.4-nano,direct_no_context,error,11,3154,0,3154,0.0006308,0.0
