provider,model,model_effort,prompt_variant,status,n_rows,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost_usd,avg_confidence,avg_latency_seconds
anthropic,claude-sonnet-5,effort=low,definitions_examples_no_metadata,ok,49,321719,4546,0,326265,0.688898,0.669795918367347,3.0880651571312727
anthropic,claude-sonnet-5,effort=low,definitions_examples_with_metadata,ok,49,337105,4420,0,341525,0.71841,0.6938775510204082,3.3898790612512704
anthropic,claude-sonnet-5,effort=low,definitions_only,ok,49,219554,4487,0,224041,0.483978,0.6836734693877551,3.050906687366719
anthropic,claude-sonnet-5,effort=low,direct_no_context,ok,49,48397,3825,0,52222,0.135044,0.7448979591836735,3.080130484639382
gemini,gemini-3.1-flash-lite,thinking_level=minimal,definitions_examples_no_metadata,ok,49,173300,3786,0,177086,0.147012,0.9020408163265307,0.9049044725846271
gemini,gemini-3.1-flash-lite,thinking_level=minimal,definitions_examples_with_metadata,ok,49,183786,3737,0,187523,0.15465600000000002,0.9040816326530612,0.9106743822292406
gemini,gemini-3.1-flash-lite,thinking_level=minimal,definitions_only,ok,49,112589,3757,0,116346,0.10134825,0.8867346938775511,0.885000331061227
gemini,gemini-3.1-flash-lite,thinking_level=minimal,direct_no_context,ok,49,14932,3497,0,18429,0.0269355,0.9224489795918368,0.9049073725330586
openai,gpt-5.6-terra,reasoning_effort=low,definitions_examples_no_metadata,ok,49,177272,5097,2105,182369,0.04182565,0.9028571428571429,1.9717987800131038
openai,gpt-5.6-terra,reasoning_effort=low,definitions_examples_with_metadata,ok,49,187464,5824,2894,193288,0.0447728,0.893673469387755,1.9713552971275485
openai,gpt-5.6-terra,reasoning_effort=low,definitions_only,ok,49,117443,5402,2343,122845,0.0302411,0.9144897959183674,1.7987653527941023
openai,gpt-5.6-terra,reasoning_effort=low,direct_no_context,ok,49,20913,6904,4098,27817,0.0128126,0.8983673469387756,2.3582896991651885
