provider,model,model_effort,prompt_variant,n_scored,accuracy,precision_yes,recall_yes,f1_yes,tp,tn,fp,fn,mean_confidence,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost_usd,cost_per_scored_row,cost_per_correct_binary_label,avg_latency_seconds
gemini,gemini-3.1-flash-lite,thinking_level=minimal,direct_no_context,49,0.7346938775510204,0.8611111111111112,0.7948717948717948,0.8266666666666667,31,5,5,8,0.9224489795918368,14932,3497,0,18429,0.0269355,0.000549704081632653,0.0007482083333333334,0.9049073725330586
anthropic,claude-sonnet-5,effort=low,definitions_examples_no_metadata,49,0.7551020408163265,0.8857142857142857,0.7948717948717948,0.8378378378378378,31,6,4,8,0.669795918367347,321719,4546,0,326265,0.688898,0.014059142857142857,0.018618864864864866,3.0880651571312727
openai,gpt-5.6-terra,reasoning_effort=low,definitions_examples_with_metadata,49,0.7551020408163265,0.9090909090909091,0.7692307692307693,0.8333333333333333,30,7,3,9,0.8936734693877553,187464,5824,2894,193288,0.0447728,0.000913730612244898,0.0012100756756756757,1.9713552971275485
gemini,gemini-3.1-flash-lite,thinking_level=minimal,definitions_examples_with_metadata,49,0.7346938775510204,0.8823529411764706,0.7692307692307693,0.8219178082191781,30,6,4,9,0.9040816326530613,183786,3737,0,187523,0.154656,0.0031562448979591835,0.0042959999999999995,0.9106743822292406
anthropic,claude-sonnet-5,effort=low,definitions_examples_with_metadata,49,0.7551020408163265,0.9090909090909091,0.7692307692307693,0.8333333333333333,30,7,3,9,0.6938775510204082,337105,4420,0,341525,0.71841,0.014661428571428572,0.019416486486486487,3.3898790612512704
openai,gpt-5.6-terra,reasoning_effort=low,definitions_examples_no_metadata,49,0.7755102040816326,0.9666666666666667,0.7435897435897436,0.8405797101449275,29,9,1,10,0.9028571428571429,177272,5097,2105,182369,0.04182565,0.000853584693877551,0.001100675,1.9717987800131038
gemini,gemini-3.1-flash-lite,thinking_level=minimal,definitions_examples_no_metadata,49,0.6938775510204082,0.8529411764705882,0.7435897435897436,0.7945205479452054,29,5,5,10,0.9020408163265307,173300,3786,0,177086,0.14701199999999998,0.003000244897959183,0.004323882352941176,0.9049044725846271
gemini,gemini-3.1-flash-lite,thinking_level=minimal,definitions_only,49,0.673469387755102,0.8484848484848485,0.717948717948718,0.7777777777777778,28,5,5,11,0.8867346938775511,112589,3757,0,116346,0.10134825,0.002068331632653061,0.003071159090909091,0.885000331061227
openai,gpt-5.6-terra,reasoning_effort=low,direct_no_context,49,0.6530612244897959,0.9230769230769231,0.6153846153846154,0.7384615384615384,24,8,2,15,0.8983673469387756,20913,6904,4098,27817,0.012812599999999999,0.0002614816326530612,0.00040039374999999996,2.3582896991651885
anthropic,claude-sonnet-5,effort=low,definitions_only,49,0.6326530612244898,0.8888888888888888,0.6153846153846154,0.7272727272727274,24,7,3,15,0.6836734693877552,219554,4487,0,224041,0.48397799999999996,0.009877102040816326,0.015612193548387096,3.050906687366719
openai,gpt-5.6-terra,reasoning_effort=low,definitions_only,49,0.5918367346938775,1.0,0.48717948717948717,0.6551724137931034,19,10,0,20,0.9144897959183672,117443,5402,2343,122845,0.0302411,0.0006171653061224489,0.0010427965517241379,1.7987653527941023
anthropic,claude-sonnet-5,effort=low,direct_no_context,49,0.40816326530612246,0.9166666666666666,0.28205128205128205,0.4313725490196078,11,9,1,28,0.7448979591836735,48397,3825,0,52222,0.135044,0.0027559999999999998,0.0067522,3.080130484639382
