provider,model,model_effort,prompt_variant,n_scored,accuracy,precision_yes,recall_yes,f1_yes,tp,tn,fp,fn,mean_confidence,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost_usd,cost_per_scored_row,cost_per_correct_binary_label,avg_latency_seconds
gemini,gemini-2.5-flash,thinking_budget=1024,direct_no_context,1,1.0,1.0,1.0,1.0,1,0,0,0,0.9,262,61,328,651,0.00023109999999999998,0.00023109999999999998,0.00023109999999999998,2.902177572250366
anthropic,claude-haiku-4-5-20251001,effort=omitted,definitions_examples_no_metadata,11,1.0,1.0,1.0,1.0,11,0,0,0,0.8300000000000001,49335,936,0,50271,0.054015,0.004910454545454545,0.004910454545454545,1.639208360151811
anthropic,claude-sonnet-5,effort=low,definitions_only,11,1.0,1.0,1.0,1.0,11,0,0,0,0.6772727272727272,50707,1117,0,51824,0.112584,0.010234909090909091,0.010234909090909091,2.503172354264693
anthropic,claude-sonnet-5,effort=low,definitions_examples_no_metadata,11,1.0,1.0,1.0,1.0,11,0,0,0,0.7090909090909091,73642,1121,0,74763,0.15849400000000002,0.014408545454545457,0.014408545454545457,3.0801608128981157
anthropic,claude-sonnet-5,effort=low,definitions_examples_with_metadata,11,1.0,1.0,1.0,1.0,11,0,0,0,0.7045454545454545,77096,1051,0,78147,0.164702,0.01497290909090909,0.01497290909090909,2.391852790659124
gemini,gemini-3.5-flash,thinking_level=low,direct_no_context,11,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,10,0,0,1,0.859090909090909,4159,847,2276,7282,0.013861499999999997,0.0012601363636363635,0.0013861499999999996,7.005745887756348
anthropic,claude-haiku-4-5-20251001,effort=omitted,definitions_only,11,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,10,0,0,1,0.8472727272727272,34155,985,0,35140,0.03908,0.0035527272727272725,0.003908,1.522080573168668
gemini,gemini-2.5-flash,thinking_budget=512,direct_no_context,11,0.8181818181818182,1.0,0.8181818181818182,0.9,9,0,0,2,0.9045454545454547,4159,694,3981,8834,0.0029827,0.0002711545454545455,0.00033141111111111113,2.9510383822701196
openai,gpt-5.4,reasoning_effort=low,direct_no_context,11,0.8181818181818182,1.0,0.8181818181818182,0.9,9,0,0,2,0.8154545454545455,5497,1679,1029,7176,0.00319815,0.0002907409090909091,0.00035535,2.3099422454833984
openai,gpt-5.4,reasoning_effort=low,definitions_examples_no_metadata,11,0.8181818181818182,1.0,0.8181818181818182,0.9,9,0,0,2,0.8627272727272728,40598,1599,938,42197,0.010118350000000002,0.0009198500000000002,0.0011242611111111113,2.143201697956432
gemini,gemini-3.5-flash,thinking_level=low,definitions_only,11,0.8181818181818182,1.0,0.8181818181818182,0.9,9,0,0,2,0.9090909090909091,26082,855,2645,29582,0.046818000000000005,0.004256181818181819,0.005202000000000001,2.513245019045743
anthropic,claude-haiku-4-5-20251001,effort=omitted,definitions_examples_with_metadata,11,0.8181818181818182,1.0,0.8181818181818182,0.9,9,0,0,2,0.8081818181818182,51931,934,0,52865,0.056601,0.005145545454545455,0.0062889999999999995,1.6976878643035889
