analysis_level,provider,run_name,requested_model,prompt_variant,evaluation_scope,target_family,valid_prediction_n,reference_positive_n,reference_negative_n,predicted_positive_n,accuracy,recall,precision,f1,specificity,auroc,auroc_flag,tn,fp,fn,tp,threshold,expected_n,prediction_coverage,document,target_labeler,label_source_type,threshold_mode
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,76,46,30,76,0.6052631578947368,1.0,0.6052631578947368,0.7540983606557377,0.0,0.6634057971014492,,0,30,0,46,0.05,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,68,41,27,67,0.6176470588235294,1.0,0.6119402985074627,0.7592592592592593,0.037037037037037035,0.6887985546522132,,1,26,0,41,0.15,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_anmol,individual_coder,53,39,14,53,0.7358490566037735,1.0,0.7358490566037735,0.8478260869565217,0.0,0.6263736263736264,,0,14,0,39,0.15,53,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_anmol__drop_kyle_only,individual_coder,53,39,14,53,0.7358490566037735,1.0,0.7358490566037735,0.8478260869565217,0.0,0.6263736263736264,,0,14,0,39,0.15,53,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_kyle,individual_coder,51,46,5,51,0.9019607843137255,1.0,0.9019607843137255,0.9484536082474226,0.0,0.6804347826086956,,0,5,0,46,0.05,51,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_kyle__drop_kyle_only,individual_coder,43,41,2,43,0.9534883720930233,1.0,0.9534883720930233,0.9761904761904762,0.0,0.6402439024390244,,0,2,0,41,0.08,43,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_prerana,individual_coder,18,5,13,4,0.8333333333333334,0.6,0.75,0.6666666666666666,0.9230769230769231,0.7692307692307692,,12,1,2,3,0.5,18,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_prerana__drop_kyle_only,individual_coder,18,5,13,4,0.8333333333333334,0.6,0.75,0.6666666666666666,0.9230769230769231,0.7692307692307692,,12,1,2,3,0.5,18,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,new_gold_test_only,new_gold,76,46,30,76,0.6052631578947368,1.0,0.6052631578947368,0.7540983606557377,0.0,0.6634057971014492,,0,30,0,46,0.05,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,new_gold_test_only__drop_kyle_only,new_gold,68,41,27,67,0.6176470588235294,1.0,0.6119402985074627,0.7592592592592593,0.037037037037037035,0.6887985546522132,,1,26,0,41,0.15,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,old_gold_test_only,old_gold,76,54,22,76,0.7105263157894737,1.0,0.7105263157894737,0.8307692307692308,0.0,0.627946127946128,,0,22,0,54,0.05,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,old_gold_test_only__drop_kyle_only,old_gold,68,49,19,68,0.7205882352941176,1.0,0.7205882352941176,0.8376068376068376,0.0,0.6380236305048335,,0,19,0,49,0.08,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,pooled_coder_labels,pooled_coder_decisions,122,90,32,122,0.7377049180327869,1.0,0.7377049180327869,0.8490566037735849,0.0,0.6529513888888888,,0,32,0,90,0.05,122,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,114,85,29,114,0.7456140350877193,1.0,0.7456140350877193,0.8542713567839196,0.0,0.6584178498985801,,0,29,0,85,0.08,114,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,76,46,30,76,0.6052631578947368,1.0,0.6052631578947368,0.7540983606557377,0.0,0.6702898550724639,,0,30,0,46,0.05,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,68,41,27,65,0.6176470588235294,0.975609756097561,0.6153846153846154,0.7547169811320755,0.07407407407407407,0.6897018970189701,,2,25,1,40,0.15,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_anmol,individual_coder,53,39,14,53,0.7358490566037735,1.0,0.7358490566037735,0.8478260869565217,0.0,0.6263736263736264,,0,14,0,39,0.15,53,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_anmol__drop_kyle_only,individual_coder,53,39,14,53,0.7358490566037735,1.0,0.7358490566037735,0.8478260869565217,0.0,0.6263736263736264,,0,14,0,39,0.15,53,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_kyle,individual_coder,51,46,5,51,0.9019607843137255,1.0,0.9019607843137255,0.9484536082474226,0.0,0.6304347826086957,,0,5,0,46,0.05,51,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_kyle__drop_kyle_only,individual_coder,43,41,2,43,0.9534883720930233,1.0,0.9534883720930233,0.9761904761904762,0.0,0.5731707317073171,,0,2,0,41,0.05,43,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_prerana,individual_coder,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.7538461538461538,,13,0,2,3,0.5,18,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_prerana__drop_kyle_only,individual_coder,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.7538461538461538,,13,0,2,3,0.5,18,1.0,,,,model_scope_optimized_in_sample
