prompt_variant,evaluation_scope,target_family,n_complete_cases,weights_json,equal_weight_l1_distance,weight_openai_gpt_5_6_terra_low,weight_anthropic_claude_haiku_4_5,weight_google_gemini_3_1_flash_lite_low,threshold,accuracy,recall,precision,f1,specificity,auroc,auroc_flag,tn,fp,fn,tp,distance_from_0_5,optimization_method,weight_step
codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,75,"{""anthropic_claude_haiku_4_5"": 0.05, ""google_gemini_3_1_flash_lite_low"": 0.9, ""openai_gpt_5_6_terra_low"": 0.05}",1.1333333333333333,0.05,0.05,0.9,0.19,0.7066666666666667,0.8,0.7346938775510204,0.7659574468085106,0.5666666666666667,0.6959259259259258,,17,13,9,36,0.31,in_sample_weight_and_threshold_grid,0.05
codebook_no_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,75,"{""anthropic_claude_haiku_4_5"": 0.15, ""google_gemini_3_1_flash_lite_low"": 0.6, ""openai_gpt_5_6_terra_low"": 0.25}",0.5333333333333332,0.25,0.15,0.6,0.12,0.7066666666666667,0.9111111111111111,0.6949152542372882,0.7884615384615385,0.4,0.747037037037037,,12,18,4,41,0.38,in_sample_weight_and_threshold_grid,0.05
codebook_with_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,76,"{""anthropic_claude_haiku_4_5"": 0.15, ""google_gemini_3_1_flash_lite_low"": 0.85, ""openai_gpt_5_6_terra_low"": 0.0}",1.0333333333333332,0.0,0.15,0.85,0.19,0.7105263157894737,0.8043478260869565,0.74,0.7708333333333333,0.5666666666666667,0.678623188405797,,17,13,9,37,0.31,in_sample_weight_and_threshold_grid,0.05
codebook_with_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,74,"{""anthropic_claude_haiku_4_5"": 0.15, ""google_gemini_3_1_flash_lite_low"": 0.5, ""openai_gpt_5_6_terra_low"": 0.35}",0.3666666666666667,0.35,0.15,0.5,0.1,0.7027027027027027,0.9090909090909091,0.6896551724137931,0.7843137254901961,0.4,0.7090909090909091,,12,18,4,40,0.4,in_sample_weight_and_threshold_grid,0.05
direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,76,"{""anthropic_claude_haiku_4_5"": 0.75, ""google_gemini_3_1_flash_lite_low"": 0.0, ""openai_gpt_5_6_terra_low"": 0.25}",0.8333333333333333,0.25,0.75,0.0,0.12,0.6447368421052632,0.9565217391304348,0.6376811594202898,0.7652173913043478,0.16666666666666666,0.6760869565217391,,5,25,2,44,0.38,in_sample_weight_and_threshold_grid,0.05
codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,67,"{""anthropic_claude_haiku_4_5"": 0.45, ""google_gemini_3_1_flash_lite_low"": 0.45, ""openai_gpt_5_6_terra_low"": 0.1}",0.4666666666666667,0.1,0.45,0.45,0.16,0.7014925373134329,0.9,0.6923076923076923,0.7826086956521738,0.4074074074074074,0.7175925925925927,,11,16,4,36,0.33999999999999997,in_sample_weight_and_threshold_grid,0.05
codebook_no_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,67,"{""anthropic_claude_haiku_4_5"": 0.15, ""google_gemini_3_1_flash_lite_low"": 0.6, ""openai_gpt_5_6_terra_low"": 0.25}",0.5333333333333332,0.25,0.15,0.6,0.12,0.7313432835820896,0.975,0.6964285714285714,0.8125,0.37037037037037035,0.7898148148148149,,10,17,1,39,0.38,in_sample_weight_and_threshold_grid,0.05
codebook_with_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,68,"{""anthropic_claude_haiku_4_5"": 0.15, ""google_gemini_3_1_flash_lite_low"": 0.85, ""openai_gpt_5_6_terra_low"": 0.0}",1.0333333333333332,0.0,0.15,0.85,0.19,0.7205882352941176,0.8536585365853658,0.7291666666666666,0.7865168539325843,0.5185185185185185,0.6978319783197833,,14,13,6,35,0.31,in_sample_weight_and_threshold_grid,0.05
codebook_with_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,66,"{""anthropic_claude_haiku_4_5"": 0.15, ""google_gemini_3_1_flash_lite_low"": 0.5, ""openai_gpt_5_6_terra_low"": 0.35}",0.3666666666666667,0.35,0.15,0.5,0.1,0.7424242424242424,0.9743589743589743,0.7037037037037037,0.8172043010752689,0.4074074074074074,0.7374169040835707,,11,16,1,38,0.4,in_sample_weight_and_threshold_grid,0.05
direct_target_only,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,68,"{""anthropic_claude_haiku_4_5"": 0.75, ""google_gemini_3_1_flash_lite_low"": 0.0, ""openai_gpt_5_6_terra_low"": 0.25}",0.8333333333333333,0.25,0.75,0.0,0.12,0.6764705882352942,1.0,0.6507936507936508,0.7884615384615385,0.18518518518518517,0.7041553748870822,,5,22,0,41,0.38,in_sample_weight_and_threshold_grid,0.05
codebook_no_examples_no_checklist,new_gold_test_only,new_gold,75,"{""anthropic_claude_haiku_4_5"": 0.05, ""google_gemini_3_1_flash_lite_low"": 0.9, ""openai_gpt_5_6_terra_low"": 0.05}",1.1333333333333333,0.05,0.05,0.9,0.19,0.7066666666666667,0.8,0.7346938775510204,0.7659574468085106,0.5666666666666667,0.6959259259259258,,17,13,9,36,0.31,in_sample_weight_and_threshold_grid,0.05
codebook_no_examples_with_checklist,new_gold_test_only,new_gold,75,"{""anthropic_claude_haiku_4_5"": 0.15, ""google_gemini_3_1_flash_lite_low"": 0.6, ""openai_gpt_5_6_terra_low"": 0.25}",0.5333333333333332,0.25,0.15,0.6,0.12,0.7066666666666667,0.9111111111111111,0.6949152542372882,0.7884615384615385,0.4,0.747037037037037,,12,18,4,41,0.38,in_sample_weight_and_threshold_grid,0.05
codebook_with_examples_no_checklist,new_gold_test_only,new_gold,76,"{""anthropic_claude_haiku_4_5"": 0.15, ""google_gemini_3_1_flash_lite_low"": 0.85, ""openai_gpt_5_6_terra_low"": 0.0}",1.0333333333333332,0.0,0.15,0.85,0.19,0.7105263157894737,0.8043478260869565,0.74,0.7708333333333333,0.5666666666666667,0.678623188405797,,17,13,9,37,0.31,in_sample_weight_and_threshold_grid,0.05
codebook_with_examples_with_checklist,new_gold_test_only,new_gold,74,"{""anthropic_claude_haiku_4_5"": 0.15, ""google_gemini_3_1_flash_lite_low"": 0.5, ""openai_gpt_5_6_terra_low"": 0.35}",0.3666666666666667,0.35,0.15,0.5,0.1,0.7027027027027027,0.9090909090909091,0.6896551724137931,0.7843137254901961,0.4,0.7090909090909091,,12,18,4,40,0.4,in_sample_weight_and_threshold_grid,0.05
direct_target_only,new_gold_test_only,new_gold,76,"{""anthropic_claude_haiku_4_5"": 0.75, ""google_gemini_3_1_flash_lite_low"": 0.0, ""openai_gpt_5_6_terra_low"": 0.25}",0.8333333333333333,0.25,0.75,0.0,0.12,0.6447368421052632,0.9565217391304348,0.6376811594202898,0.7652173913043478,0.16666666666666666,0.6760869565217391,,5,25,2,44,0.38,in_sample_weight_and_threshold_grid,0.05
